06/18/2017 12:41:49 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:53 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:56 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:59 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:42:02 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
07_06_2017 04_59_29 : Zmena hardwaroveho c. : ( 000BABB10A96 ) na ( 000BABADEB84
07_06_2017 04_59_34 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 04_59_38 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 04_59_42 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 04_59_46 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 04_59_50 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 04_59_54 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 04_59_58 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_02 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_07 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_11 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_15 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_19 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_23 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_27 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_31 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_35 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_39 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_43 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_48 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_52 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_00_56 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_00 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_04 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_08 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_12 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_16 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_20 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_24 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_29 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_33 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_01_37 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
